obs,time,deployment,conductivity,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,profiler_timestamp,salinity,suspect_timestamp,temperature,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,salinity_qc_executed,salinity_qc_results,density_qc_executed,density_qc_results,temperature_qc_executed,temperature_qc_results,lat,lon
"('0',)",3692418870.65,4,3.61757993698,3716294610.02,3716294612.58,3692418870.65,0.0,internal_timestamp,68.5849990845,1483430070.65,33.5161018372,1,9.46030044556,1026.19837499,29,13,29,13,29,29,29,29,29,29,44.6389,-124.2990333
"('1',)",3692418870.71,4,3.61760997772,3716294610.02,3716294612.58,3692418870.71,0.0,internal_timestamp,68.5869979858,1483430070.71,33.5163993835,0,9.46030044556,1026.19861656,29,13,29,13,29,29,29,29,29,29,44.6389,-124.2990333
"('2',)",3692418870.78,4,3.61747002602,3716294610.02,3716294612.58,3692418870.78,0.0,internal_timestamp,68.5849990845,1483430070.78,33.5149993896,0,9.46030044556,1026.19751367,29,13,29,13,29,29,29,29,29,29,44.6389,-124.2990333
"('3',)",3692418870.84,4,3.61757993698,3716294610.02,3716294612.58,3692418870.84,0.0,internal_timestamp,68.5849990845,1483430070.84,33.5161018372,0,9.46030044556,1026.19837499,29,13,29,13,29,29,29,29,29,29,44.6389,-124.2990333
"('4',)",3692418870.9,4,3.61760997772,3716294610.02,3716294612.58,3692418870.9,0.0,internal_timestamp,68.5869979858,1483430070.9,33.5163993835,0,9.46030044556,1026.19861656,29,13,29,13,29,29,29,29,29,29,44.6389,-124.2990333
"('5',)",3692418870.96,4,3.61982011795,3716294610.02,3716294612.58,3692418870.96,0.0,internal_timestamp,68.5830001831,1483430070.96,33.5401992798,0,9.4593000412,1026.21735618,29,13,29,13,29,29,29,29,29,29,44.6389,-124.2990333
"('6',)",3692418871.03,4,3.62049007416,3716294610.02,3716294612.58,3692418871.03,0.0,internal_timestamp,68.5849990845,1483430071.03,33.5475997925,0,9.45870018005,1026.22324524,29,13,29,13,29,29,29,29,29,29,44.6389,-124.2990333
"('7',)",3692418871.09,4,3.61746001244,3716294610.02,3716294612.58,3692418871.09,0.0,internal_timestamp,68.5849990845,1483430071.09,33.5152015686,0,9.46000003815,1026.19772072,29,13,29,13,29,29,29,29,29,29,44.6389,-124.2990333
"('8',)",3692418871.15,4,3.61785006523,3716294610.02,3716294612.58,3692418871.15,0.0,internal_timestamp,68.5849990845,1483430071.15,33.5195007324,0,9.45969963074,1026.20112863,29,13,29,13,29,29,29,29,29,29,44.6389,-124.2990333
"('9',)",3692418871.22,4,3.61856007576,3716294610.02,3716294612.58,3692418871.22,0.0,internal_timestamp,68.5849990845,1483430071.22,33.5271987915,0,9.4591999054,1026.20722462,29,13,29,13,29,29,29,29,29,29,44.6389,-124.2990333
"('10',)",3692418871.28,4,3.6194601059,3716294610.02,3716294612.58,3692418871.28,0.0,internal_timestamp,68.5830001831,1483430071.28,33.5369987488,0,9.45870018005,1026.21495369,29,13,29,13,29,29,29,29,29,29,44.6389,-124.2990333
"('11',)",3692418871.34,4,3.62032008171,3716294610.02,3716294612.58,3692418871.34,0.0,internal_timestamp,68.5849990845,1483430071.34,33.5463981628,0,9.45820045471,1026.2223881,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('12',)",3692418871.4,4,3.62077999115,3716294610.02,3716294612.58,3692418871.4,0.0,internal_timestamp,68.5879974365,1483430071.4,33.5514984131,0,9.4577999115,1026.22645199,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('13',)",3692418871.47,4,3.62104988098,3716294610.02,3716294612.58,3692418871.47,0.0,internal_timestamp,68.5879974365,1483430071.47,33.554599762,0,9.45740032196,1026.22894035,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('14',)",3692418871.53,4,3.62119007111,3716294610.02,3716294612.58,3692418871.53,0.0,internal_timestamp,68.5859985352,1483430071.53,33.5563011169,0,9.45720005035,1026.23029323,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('15',)",3692418871.59,4,3.62125992775,3716294610.02,3716294612.58,3692418871.59,0.0,internal_timestamp,68.5889968872,1483430071.59,33.5570983887,0,9.45699977875,1026.23096253,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('16',)",3692418871.65,4,3.62128996849,3716294610.02,3716294612.59,3692418871.65,0.0,internal_timestamp,68.5899963379,1483430071.65,33.5574989319,0,9.45689964294,1026.23129639,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('17',)",3692418871.72,4,3.62130999565,3716294610.02,3716294612.59,3692418871.72,0.0,internal_timestamp,68.5859985352,1483430071.72,33.557800293,0,9.45689964294,1026.23151363,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('18',)",3692418871.78,4,3.62132000923,3716294610.02,3716294612.59,3692418871.78,0.0,internal_timestamp,68.5889968872,1483430071.78,33.5578994751,0,9.45689964294,1026.23160478,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('19',)",3692418871.84,4,3.62132000923,3716294610.02,3716294612.59,3692418871.84,0.0,internal_timestamp,68.591003418,1483430071.84,33.5577011108,0,9.45699977875,1026.23144258,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('20',)",3692418871.9,4,3.62133002281,3716294610.02,3716294612.59,3692418871.9,0.0,internal_timestamp,68.5869979858,1483430071.9,33.5574989319,0,9.45740032196,1026.23120089,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('21',)",3692418871.97,4,3.62135004997,3716294610.02,3716294612.59,3692418871.97,0.0,internal_timestamp,68.5879974365,1483430071.97,33.5570983887,0,9.45810031891,1026.23077809,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('22',)",3692418872.03,4,3.62138009071,3716294610.02,3716294612.59,3692418872.03,0.0,internal_timestamp,68.5879974365,1483430072.03,33.5564002991,0,9.45909976959,1026.2300693,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('23',)",3692418872.09,4,3.62140011787,3716294610.02,3716294612.59,3692418872.09,0.0,internal_timestamp,68.5889968872,1483430072.09,33.5555992126,0,9.46030044556,1026.2292517,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('24',)",3692418872.15,4,3.62143993378,3716294610.02,3716294612.59,3692418872.15,0.0,internal_timestamp,68.5869979858,1483430072.15,33.5547981262,0,9.46140003204,1026.22843694,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('25',)",3692418872.22,4,3.6214799881,3716294610.02,3716294612.59,3692418872.22,0.0,internal_timestamp,68.591003418,1483430072.22,33.5545005798,0,9.46220016479,1026.22809191,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('26',)",3692418872.28,4,3.62151002884,3716294610.02,3716294612.59,3692418872.28,0.0,internal_timestamp,68.5930023193,1483430072.28,33.554599762,0,9.46249961853,1026.22812955,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('27',)",3692418872.34,4,3.62154006958,3716294610.02,3716294612.59,3692418872.34,0.0,internal_timestamp,68.5889968872,1483430072.34,33.5550994873,0,9.46220016479,1026.22855068,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('28',)",3692418872.4,4,3.62154006958,3716294610.02,3716294612.59,3692418872.4,0.0,internal_timestamp,68.5849990845,1483430072.4,33.5556983948,0,9.46160030365,1026.22909845,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('29',)",3692418872.47,4,3.621530056,3716294610.02,3716294612.59,3692418872.47,0.0,internal_timestamp,68.5869979858,1483430072.47,33.5564002991,0,9.4608001709,1026.22978676,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('30',)",3692418872.53,4,3.62151002884,3716294610.02,3716294612.59,3692418872.53,0.0,internal_timestamp,68.5869979858,1483430072.53,33.5569992065,0,9.45989990234,1026.23040186,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('31',)",3692418872.59,4,3.62149000168,3716294610.02,3716294612.59,3692418872.59,0.0,internal_timestamp,68.591003418,1483430072.59,33.557598114,0,9.45899963379,1026.23103521,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('32',)",3692418872.65,4,3.62145996094,3716294610.02,3716294612.59,3692418872.65,0.0,internal_timestamp,68.5899963379,1483430072.65,33.5581016541,0,9.45820045471,1026.23155467,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('33',)",3692418872.72,4,3.62144994736,3716294610.02,3716294612.59,3692418872.72,0.0,internal_timestamp,68.5869979858,1483430072.72,33.5584983826,0,9.4576997757,1026.23193281,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('34',)",3692418872.78,4,3.62143993378,3716294610.02,3716294612.59,3692418872.78,0.0,internal_timestamp,68.5889968872,1483430072.78,33.5586013794,0,9.45740032196,1026.23207133,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('35',)",3692418872.84,4,3.6214299202,3716294610.02,3716294612.59,3692418872.84,0.0,internal_timestamp,68.5869979858,1483430072.84,33.5584983826,0,9.45740032196,1026.23198175,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('36',)",3692418872.9,4,3.6214299202,3716294610.02,3716294612.59,3692418872.9,0.0,internal_timestamp,68.5869979858,1483430072.9,33.5582008362,0,9.4576997757,1026.23170034,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('37',)",3692418872.97,4,3.6214299202,3716294610.02,3716294612.59,3692418872.97,0.0,internal_timestamp,68.5889968872,1483430072.97,33.557800293,0,9.45810031891,1026.23133103,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('38',)",3692418873.03,4,3.62141990662,3716294610.02,3716294612.6,3692418873.03,0.0,internal_timestamp,68.5879974365,1483430073.03,33.5574989319,0,9.45839977264,1026.23104208,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('39',)",3692418873.09,4,3.6214299202,3716294610.02,3716294612.6,3692418873.09,0.0,internal_timestamp,68.5859985352,1483430073.09,33.5574989319,0,9.45849990845,1026.2310166,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('40',)",3692418873.15,4,3.62144994736,3716294610.02,3716294612.6,3692418873.15,0.0,internal_timestamp,68.5889968872,1483430073.15,33.5578994751,0,9.45829963684,1026.23137594,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('41',)",3692418873.22,4,3.62146997452,3716294610.02,3716294612.6,3692418873.22,0.0,internal_timestamp,68.5920028687,1483430073.22,33.5583992004,0,9.45800018311,1026.23182902,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('42',)",3692418873.28,4,3.62146997452,3716294610.02,3716294612.6,3692418873.28,0.0,internal_timestamp,68.5899963379,1483430073.28,33.5587997437,0,9.45759963989,1026.23219829,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('43',)",3692418873.34,4,3.62146997452,3716294610.02,3716294612.6,3692418873.34,0.0,internal_timestamp,68.591003418,1483430073.34,33.5589981079,0,9.45740032196,1026.23239044,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('44',)",3692418873.4,4,3.62146997452,3716294610.03,3716294612.6,3692418873.4,0.0,internal_timestamp,68.5899963379,1483430073.4,33.5588989258,0,9.45740032196,1026.23230836,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('45',)",3692418873.47,4,3.62145996094,3716294610.03,3716294612.6,3692418873.47,0.0,internal_timestamp,68.591003418,1483430073.47,33.5586013794,0,9.45759963989,1026.2320479,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('46',)",3692418873.53,4,3.62145996094,3716294610.03,3716294612.6,3692418873.53,0.0,internal_timestamp,68.5899963379,1483430073.53,33.5584983826,0,9.4576997757,1026.23194647,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('47',)",3692418873.59,4,3.62146997452,3716294610.03,3716294612.6,3692418873.59,0.0,internal_timestamp,68.591003418,1483430073.59,33.5584983826,0,9.4577999115,1026.23193469,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('48',)",3692418873.65,4,3.6214799881,3716294610.03,3716294612.6,3692418873.65,0.0,internal_timestamp,68.5889968872,1483430073.65,33.5586013794,0,9.4579000473,1026.23198965,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('49',)",3692418873.72,4,3.62150001526,3716294610.03,3716294612.6,3692418873.72,0.0,internal_timestamp,68.5899963379,1483430073.72,33.5587005615,0,9.45800018311,1026.23205532,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('50',)",3692418873.78,4,3.62151002884,3716294610.03,3716294612.6,3692418873.78,0.0,internal_timestamp,68.591003418,1483430073.78,33.5587005615,0,9.45810031891,1026.23204355,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('51',)",3692418873.84,4,3.62151002884,3716294610.03,3716294612.61,3692418873.84,0.0,internal_timestamp,68.59400177,1483430073.84,33.5584983826,0,9.45839977264,1026.2318503,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('52',)",3692418873.9,4,3.62151002884,3716294610.03,3716294612.61,3692418873.9,0.0,internal_timestamp,68.59400177,1483430073.9,33.5583000183,0,9.45849990845,1026.23167895,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('53',)",3692418873.97,4,3.62151002884,3716294610.03,3716294612.61,3692418873.97,0.0,internal_timestamp,68.5920028687,1483430073.97,33.5582008362,0,9.45860004425,1026.23157598,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('54',)",3692418874.03,4,3.62150001526,3716294610.03,3716294612.61,3692418874.03,0.0,internal_timestamp,68.591003418,1483430074.03,33.5581016541,0,9.45860004425,1026.23149394,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('55',)",3692418874.09,4,3.62150001526,3716294610.03,3716294612.61,3692418874.09,0.0,internal_timestamp,68.5899963379,1483430074.09,33.5581016541,0,9.45860004425,1026.23148935,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('56',)",3692418874.15,4,3.62150001526,3716294610.03,3716294612.61,3692418874.15,0.0,internal_timestamp,68.5920028687,1483430074.15,33.5579986572,0,9.45870018005,1026.23140165,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('57',)",3692418874.22,4,3.62150001526,3716294610.03,3716294612.61,3692418874.22,0.0,internal_timestamp,68.591003418,1483430074.22,33.5579986572,0,9.45880031586,1026.23138073,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('58',)",3692418874.28,4,3.62150001526,3716294610.03,3716294612.66,3692418874.28,0.0,internal_timestamp,68.5899963379,1483430074.28,33.5578994751,0,9.45880031586,1026.23129865,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('59',)",3692418874.34,4,3.62151002884,3716294610.03,3716294612.66,3692418874.34,0.0,internal_timestamp,68.591003418,1483430074.34,33.5581016541,0,9.45870018005,1026.23147757,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('60',)",3692418874.4,4,3.62151002884,3716294610.03,3716294612.66,3692418874.4,0.0,internal_timestamp,68.5899963379,1483430074.4,33.5583992004,0,9.45839977264,1026.23175456,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('61',)",3692418874.47,4,3.62151002884,3716294610.03,3716294612.66,3692418874.47,0.0,internal_timestamp,68.5920028687,1483430074.47,33.5587005615,0,9.45810031891,1026.2320481,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('62',)",3692418874.53,4,3.62150001526,3716294610.03,3716294612.66,3692418874.53,0.0,internal_timestamp,68.591003418,1483430074.53,33.5587997437,0,9.4579000473,1026.23215377,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('63',)",3692418874.59,4,3.62149000168,3716294610.03,3716294612.66,3692418874.59,0.0,internal_timestamp,68.591003418,1483430074.59,33.5587997437,0,9.4577999115,1026.23217014,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('64',)",3692418874.65,4,3.62149000168,3716294610.03,3716294612.66,3692418874.65,0.0,internal_timestamp,68.5859985352,1483430074.65,33.5586013794,0,9.4579000473,1026.23197598,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('65',)",3692418874.72,4,3.62149000168,3716294610.03,3716294612.66,3692418874.72,0.0,internal_timestamp,68.5879974365,1483430074.72,33.5584983826,0,9.45810031891,1026.23187189,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('66',)",3692418874.78,4,3.62150001526,3716294610.03,3716294612.67,3692418874.78,0.0,internal_timestamp,68.5889968872,1483430074.78,33.5583000183,0,9.45839977264,1026.23167251,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('67',)",3692418874.84,4,3.62150001526,3716294610.03,3716294612.67,3692418874.84,0.0,internal_timestamp,68.5889968872,1483430074.84,33.5582008362,0,9.45849990845,1026.23157865,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('68',)",3692418874.9,4,3.62150001526,3716294610.03,3716294612.67,3692418874.9,0.0,internal_timestamp,68.5859985352,1483430074.9,33.5581016541,0,9.45870018005,1026.23145476,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('69',)",3692418874.97,4,3.62150001526,3716294610.03,3716294612.67,3692418874.97,0.0,internal_timestamp,68.5839996338,1483430074.97,33.5579986572,0,9.45870018005,1026.23136518,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('70',)",3692418875.03,4,3.62150001526,3716294610.03,3716294612.67,3692418875.03,0.0,internal_timestamp,68.5859985352,1483430075.03,33.5579986572,0,9.45870018005,1026.23137429,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('71',)",3692418875.09,4,3.62150001526,3716294610.03,3716294612.67,3692418875.09,0.0,internal_timestamp,68.5879974365,1483430075.09,33.5578994751,0,9.45870018005,1026.23130591,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('72',)",3692418875.15,4,3.6214799881,3716294610.03,3716294612.67,3692418875.15,0.0,internal_timestamp,68.5830001831,1483430075.15,33.557800293,0,9.45870018005,1026.23120564,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('73',)",3692418875.22,4,3.62146997452,3716294610.03,3716294612.67,3692418875.22,0.0,internal_timestamp,68.5839996338,1483430075.22,33.5577011108,0,9.45870018005,1026.23113271,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('74',)",3692418875.28,4,3.62146997452,3716294610.03,3716294612.67,3692418875.28,0.0,internal_timestamp,68.5830001831,1483430075.28,33.557800293,0,9.45870018005,1026.23120564,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('75',)",3692418875.34,4,3.6214799881,3716294610.03,3716294612.67,3692418875.34,0.0,internal_timestamp,68.5830001831,1483430075.34,33.557800293,0,9.45870018005,1026.23120564,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('76',)",3692418875.4,4,3.62149000168,3716294610.03,3716294612.67,3692418875.4,0.0,internal_timestamp,68.5830001831,1483430075.4,33.5578994751,0,9.45870018005,1026.23128313,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('77',)",3692418875.47,4,3.62149000168,3716294610.03,3716294612.67,3692418875.47,0.0,internal_timestamp,68.5820007324,1483430075.47,33.557800293,0,9.45880031586,1026.23118472,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('78',)",3692418875.53,4,3.6214799881,3716294610.03,3716294612.67,3692418875.53,0.0,internal_timestamp,68.5810012817,1483430075.53,33.5577011108,0,9.45880031586,1026.23110268,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('79',)",3692418875.59,4,3.6214799881,3716294610.03,3716294612.67,3692418875.59,0.0,internal_timestamp,68.5820007324,1483430075.59,33.5577011108,0,9.45890045166,1026.23109086,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('80',)",3692418875.65,4,3.62149000168,3716294610.03,3716294612.67,3692418875.65,0.0,internal_timestamp,68.5820007324,1483430075.65,33.557800293,0,9.45890045166,1026.23116835,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('81',)",3692418875.72,4,3.62150001526,3716294610.03,3716294612.68,3692418875.72,0.0,internal_timestamp,68.5780029297,1483430075.72,33.5578994751,0,9.45880031586,1026.23124399,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('82',)",3692418875.78,4,3.62150001526,3716294610.03,3716294612.68,3692418875.78,0.0,internal_timestamp,68.5780029297,1483430075.78,33.5579986572,0,9.45870018005,1026.23133785,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('83',)",3692418875.84,4,3.62149000168,3716294610.03,3716294612.68,3692418875.84,0.0,internal_timestamp,68.5790023804,1483430075.84,33.5581016541,0,9.45860004425,1026.23143924,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('84',)",3692418875.9,4,3.62149000168,3716294610.03,3716294612.68,3692418875.9,0.0,internal_timestamp,68.5780029297,1483430075.9,33.5581016541,0,9.45849990845,1026.23145106,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('85',)",3692418875.97,4,3.6214799881,3716294610.03,3716294612.68,3692418875.97,0.0,internal_timestamp,68.5790023804,1483430075.97,33.5581016541,0,9.45849990845,1026.23145561,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('86',)",3692418876.03,4,3.6214799881,3716294610.03,3716294612.68,3692418876.03,0.0,internal_timestamp,68.5790023804,1483430076.03,33.5581016541,0,9.45839977264,1026.23147198,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('87',)",3692418876.09,4,3.6214799881,3716294610.03,3716294612.68,3692418876.09,0.0,internal_timestamp,68.577003479,1483430076.09,33.5581016541,0,9.45829963684,1026.23147924,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('88',)",3692418876.15,4,3.62146997452,3716294610.03,3716294612.68,3692418876.15,0.0,internal_timestamp,68.5759963989,1483430076.15,33.5581016541,0,9.45829963684,1026.23147465,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('89',)",3692418876.22,4,3.62145996094,3716294610.03,3716294612.68,3692418876.22,0.0,internal_timestamp,68.5759963989,1483430076.22,33.5579986572,0,9.45829963684,1026.23139418,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('90',)",3692418876.28,4,3.62145996094,3716294610.03,3716294612.68,3692418876.28,0.0,internal_timestamp,68.5749969482,1483430076.28,33.5579986572,0,9.45839977264,1026.23137326,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('91',)",3692418876.34,4,3.62145996094,3716294610.03,3716294612.68,3692418876.34,0.0,internal_timestamp,68.577003479,1483430076.34,33.5578994751,0,9.45839977264,1026.23130491,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('92',)",3692418876.4,4,3.62144994736,3716294610.03,3716294612.68,3692418876.4,0.0,internal_timestamp,68.5749969482,1483430076.4,33.5578994751,0,9.45839977264,1026.23129577,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('93',)",3692418876.47,4,3.62144994736,3716294610.03,3716294612.68,3692418876.47,0.0,internal_timestamp,68.5759963989,1483430076.47,33.5579986572,0,9.45829963684,1026.23139418,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('94',)",3692418876.53,4,3.62144994736,3716294610.03,3716294612.68,3692418876.53,0.0,internal_timestamp,68.5729980469,1483430076.53,33.5581016541,0,9.45810031891,1026.23149357,29,13,29,29,29,29,29,13,29,29,44.6389,-124.2990333
"('95',)",3692418876.59,4,3.62144994736,3716294610.03,3716294612.68,3692418876.59,0.0,internal_timestamp,68.5709991455,1483430076.59,33.5583000183,0,9.4579000473,1026.23167218,29,13,29,29,29,29,29,13,29,29,44.6389,-124.2990333
"('96',)",3692418876.65,4,3.62144994736,3716294610.03,3716294612.68,3692418876.65,0.0,internal_timestamp,68.5709991455,1483430076.65,33.5584983826,0,9.4576997757,1026.23185989,29,13,29,29,29,29,29,13,29,29,44.6389,-124.2990333
"('97',)",3692418876.72,4,3.62144994736,3716294610.03,3716294612.68,3692418876.72,0.0,internal_timestamp,68.5690002441,1483430076.72,33.5586013794,0,9.45750045776,1026.23196383,29,13,29,29,29,29,29,13,29,29,44.6389,-124.2990333
"('98',)",3692418876.78,4,3.62144994736,3716294610.03,3716294612.68,3692418876.78,0.0,internal_timestamp,68.5699996948,1483430076.78,33.5587005615,0,9.45740032196,1026.23206225,29,13,29,29,29,29,29,13,29,29,44.6389,-124.2990333
"('99',)",3692418876.84,4,3.62143993378,3716294610.03,3716294612.68,3692418876.84,0.0,internal_timestamp,68.5690002441,1483430076.84,33.5587005615,0,9.45740032196,1026.23205769,29,13,29,29,29,29,29,13,29,29,44.6389,-124.2990333
"('100',)",3692418876.9,4,3.6214299202,3716294610.03,3716294612.68,3692418876.9,0.0,internal_timestamp,68.5660018921,1483430076.9,33.5586013794,0,9.45740032196,1026.23196654,29,13,29,29,29,29,29,13,29,29,44.6389,-124.2990333
"('101',)",3692418876.97,4,3.6214299202,3716294610.03,3716294612.68,3692418876.97,0.0,internal_timestamp,68.5670013428,1483430076.97,33.5583992004,0,9.45750045776,1026.23179676,29,13,29,29,29,29,29,13,29,29,44.6389,-124.2990333
"('102',)",3692418877.03,4,3.6214299202,3716294610.03,3716294612.68,3692418877.03,0.0,internal_timestamp,68.5640029907,1483430077.03,33.5581016541,0,9.4577999115,1026.23150168,29,13,29,29,29,29,29,13,29,29,44.6389,-124.2990333
"('103',)",3692418877.09,4,3.62143993378,3716294610.03,3716294612.68,3692418877.09,0.0,internal_timestamp,68.5609970093,1483430077.09,33.5578994751,0,9.45820045471,1026.23126455,29,13,29,29,29,29,29,13,29,29,44.6389,-124.2990333
"('104',)",3692418877.15,4,3.62145996094,3716294610.03,3716294612.68,3692418877.15,0.0,internal_timestamp,68.5609970093,1483430077.15,33.557598114,0,9.45870018005,1026.23094741,29,13,29,29,29,29,29,13,29,29,44.6389,-124.2990333
"('105',)",3692418877.22,4,3.62149000168,3716294610.03,3716294612.68,3692418877.22,0.0,internal_timestamp,68.5609970093,1483430077.22,33.5573997498,0,9.4591999054,1026.23071074,29,13,29,29,29,29,29,13,29,29,44.6389,-124.2990333
"('106',)",3692418877.28,4,3.62151002884,3716294610.03,3716294612.68,3692418877.28,0.0,internal_timestamp,68.5569992065,1483430077.28,33.5572013855,0,9.45960044861,1026.23047206,29,13,29,29,29,29,29,13,29,29,44.6389,-124.2990333
"('107',)",3692418877.34,4,3.62152004242,3716294610.03,3716294612.68,3692418877.34,0.0,internal_timestamp,68.5589981079,1483430077.34,33.5570983887,0,9.46000003815,1026.23033537,29,13,29,29,29,29,29,13,29,29,44.6389,-124.2990333
"('108',)",3692418877.4,4,3.62155008316,3716294610.03,3716294612.68,3692418877.4,0.0,internal_timestamp,68.5599975586,1483430077.4,33.5569992065,0,9.46039962769,1026.23019711,29,13,29,29,29,29,29,13,29,29,44.6389,-124.2990333
"('109',)",3692418877.47,4,3.62157011032,3716294610.03,3716294612.68,3692418877.47,0.0,internal_timestamp,68.5559997559,1483430077.47,33.5569000244,0,9.46059989929,1026.23006866,29,13,29,29,29,29,29,13,29,29,44.6389,-124.2990333
"('110',)",3692418877.53,4,3.62157011032,3716294610.03,3716294612.69,3692418877.53,0.0,internal_timestamp,68.5569992065,1483430077.53,33.5569000244,0,9.4607000351,1026.23005685,29,13,29,29,29,29,29,13,29,29,44.6389,-124.2990333
